X,Y,Coded_ID,Tract_name,Name,Name_other,Includes,SiteStatus,Country,State_Prov,Latitude,Longitude,Type,Subtype,Age_Ma,Comm_major,Tonnage_Mt,Cu_pct,Ag_g_t,Con_Cu_t,Group_name,Includes2,SiteStat2,SiteStat3,Agehost,Unit,HostRocks,Co_pct,Comments,Mineralogy,Ref_short,Report
68.046203993,51.996746632,142ssCu8050,Teniz Basin,Sovetskoe,,,prospect,Kazakhstan,Aqmola,51.9967466320001,68.0462039930001,Sediment-hosted stratabound copper,Sandstone copper,374,Cu,-9999,-9999,-9999,-9999,,,,,Middle to Upper Devonian,Middle to Upper Devonian rocks,,-9999,,,"Babi'chev and others, 1970",Teniz
68.028942905,51.96304417,142ssCu8050,Teniz Basin,Kirei,,,prospect,Kazakhstan,Aqmola,51.96304417,68.0289429050001,Sediment-hosted stratabound copper,Sandstone copper,374,Cu,-9999,-9999,-9999,-9999,,,,,Middle to Upper Devonian,Middle to Upper Devonian rocks,,-9999,,,"Babi'chev and others, 1970",Teniz
68.358498802,51.994842304,142ssCu8050,Teniz Basin,,,,prospect,Kazakhstan,Aqmola,51.994842304,68.358498802,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999,-9999,-9999,-9999,,,significant prospect,,Upper Carboniferous,Vladimirov Suite,,-9999,,,"Babi'chev and others, 1970",Teniz
68.333902938,51.983707039,142ssCu8050,Teniz Basin,,,,prospect,Kazakhstan,Aqmola,51.9837070390001,68.3339029380001,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999,-9999,-9999,-9999,,,,,Upper Carboniferous,Vladimirov Suite,,-9999,,,"Babi'chev and others, 1970",Teniz
68.359789296,51.98504126,142ssCu8050,Teniz Basin,,,,prospect,Kazakhstan,Aqmola,51.9850412600001,68.359789296,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999,-9999,-9999,-9999,,,,,Upper Carboniferous,Vladimirov Suite,,-9999,,,"Babi'chev and others, 1970",Teniz
68.410253091,51.982731722,142ssCu8050,Teniz Basin,,,,prospect,Kazakhstan,Aqmola,51.982731722,68.4102530910001,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999,-9999,-9999,-9999,,,,,Upper Carboniferous,Vladimirov Suite,,-9999,,,"Babi'chev and others, 1970",Teniz
68.366284039,51.966165286,142ssCu8050,Teniz Basin,Proletarskoe V,,,prospect,Kazakhstan,Aqmola,51.966165286,68.3662840390001,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999,-9999,-9999,-9999,,,significant prospect,,Upper Carboniferous,Vladimirov Suite,,-9999,,,"Babi'chev and others, 1970",Teniz
68.334837551,51.967128889,142ssCu8050,Teniz Basin,Lyudmilovskoe,,,prospect,Kazakhstan,Aqmola,51.967128889,68.3348375510001,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999,-9999,-9999,-9999,,,,,Upper Carboniferous,Vladimirov Suite,,-9999,,,"Babi'chev and others, 1970",Teniz
68.366819209,51.9551635,142ssCu8050,Teniz Basin,,,,prospect,Kazakhstan,Aqmola,51.9551635,68.366819209,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999,-9999,-9999,-9999,,,,,Upper Carboniferous,Vladimirov Suite,,-9999,,,"Babi'chev and others, 1970",Teniz
68.343434531,51.928502572,142ssCu8050,Teniz Basin,Smirnovskoe,,,prospect,Kazakhstan,Aqmola,51.9285025720001,68.3434345310001,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999,-9999,-9999,-9999,,,,,Upper Carboniferous,Vladimirov Suite,,-9999,,,"Babi'chev and others, 1970",Teniz
