tenement,geometry_type,wkt_geometry,longitude,latitude,layer_source,surfacesampleid,anumber,companysampleid,dataset,surfacesampletype,report_year_wamex,project_wamex,operator_wamex,target_commodity_wamex,abstract_wamex,dpxe_rep_wamex,ag_ppm,al_ppm,as_ppm,au_ppm,b_ppm,ba_ppm,be_ppm,bi_ppm,br_ppm,c_ppm,ca_ppm,cd_ppm,ce_ppm,cl_ppm,co_ppm,cr_ppm,cs_ppm,cu_ppm,dy_ppm,er_ppm,eu_ppm,f_ppm,fe_ppm,ga_ppm,gd_ppm,ge_ppm,hf_ppm,hg_ppm,ho_ppm,i_ppm,in_ppm,ir_ppm,k_ppm,la_ppm,li_ppm,lu_ppm,mg_ppm,mn_ppm,mo_ppm,na_ppm,nb_ppm,nd_ppm,ni_ppm,os_ppm,p_ppm,pb_ppm,pd_ppm,pr_ppm,pt_ppm,rb_ppm,re_ppm,rh_ppm,ru_ppm,s_ppm,sb_ppm,sc_ppm,se_ppm,si_ppm,sm_ppm,sn_ppm,sr_ppm,ta_ppm,tb_ppm,te_ppm,th_ppm,ti_ppm,tl_ppm,tm_ppm,u_ppm,v_ppm,w_ppm,y_ppm,yb_ppm,zn_ppm,zr_ppm,layer_source.1,sample_type,selected_element
E20-TENEMENT_D,Point,POINT(117.92725145816803 -27.365859995235418),117.92725145816804,-27.36585999523541,geochem-surface,7358985,96081,E088,,SOIL,2012,Easter Well,LEGENDRE B R,GOLD,Annual Report - Easter Well (12/11/2011 - 11/11/2012),https://wamex.dmp.wa.gov.au/Wamex/Search/ReportDetails?ANumber=96081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geochem-surface,SOIL,au_ppm
E20-TENEMENT_D,Point,POINT(117.9267418384552 -27.36585523115231),117.9267418384552,-27.36585523115231,geochem-surface,7358986,96081,E089,,SOIL,2012,Easter Well,LEGENDRE B R,GOLD,Annual Report - Easter Well (12/11/2011 - 11/11/2012),https://wamex.dmp.wa.gov.au/Wamex/Search/ReportDetails?ANumber=96081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geochem-surface,SOIL,au_ppm
E20-TENEMENT_D,Point,POINT(117.92624831199646 -27.365869523401024),117.92624831199646,-27.365869523401024,geochem-surface,7358987,96081,E090,,SOIL,2012,Easter Well,LEGENDRE B R,GOLD,Annual Report - Easter Well (12/11/2011 - 11/11/2012),https://wamex.dmp.wa.gov.au/Wamex/Search/ReportDetails?ANumber=96081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geochem-surface,SOIL,au_ppm
E20-TENEMENT_D,Point,POINT(117.9257333278656 -27.36585523115231),117.9257333278656,-27.36585523115231,geochem-surface,7358988,96081,E091,,SOIL,2012,Easter Well,LEGENDRE B R,GOLD,Annual Report - Easter Well (12/11/2011 - 11/11/2012),https://wamex.dmp.wa.gov.au/Wamex/Search/ReportDetails?ANumber=96081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geochem-surface,SOIL,au_ppm
E20-TENEMENT_D,Point,POINT(117.92523980140686 -27.36585523115231),117.92523980140686,-27.36585523115231,geochem-surface,7358989,96081,E092,,SOIL,2012,Easter Well,LEGENDRE B R,GOLD,Annual Report - Easter Well (12/11/2011 - 11/11/2012),https://wamex.dmp.wa.gov.au/Wamex/Search/ReportDetails?ANumber=96081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geochem-surface,SOIL,au_ppm
E20-TENEMENT_D,Point,POINT(117.92470335960388 -27.365869523401024),117.92470335960388,-27.365869523401024,geochem-surface,7358990,96081,E093,,SOIL,2012,Easter Well,LEGENDRE B R,GOLD,Annual Report - Easter Well (12/11/2011 - 11/11/2012),https://wamex.dmp.wa.gov.au/Wamex/Search/ReportDetails?ANumber=96081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geochem-surface,SOIL,au_ppm
E20-TENEMENT_D,Point,POINT(117.92422592639923 -27.36588381564789),117.92422592639925,-27.36588381564789,geochem-surface,7358991,96081,E094,,SOIL,2012,Easter Well,LEGENDRE B R,GOLD,Annual Report - Easter Well (12/11/2011 - 11/11/2012),https://wamex.dmp.wa.gov.au/Wamex/Search/ReportDetails?ANumber=96081,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geochem-surface,SOIL,au_ppm
E20-TENEMENT_D,Point,POINT(117.92373239994049 -27.36589334381143),117.92373239994048,-27.36589334381143,geochem-surface,7358992,96081,E095,,SOIL,2012,Easter Well,LEGENDRE B R,GOLD,Annual Report - Easter Well (12/11/2011 - 11/11/2012),https://wamex.dmp.wa.gov.au/Wamex/Search/ReportDetails?ANumber=96081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geochem-surface,SOIL,au_ppm
E20-TENEMENT_D,Point,POINT(117.92322814464569 -27.365926692377393),117.92322814464568,-27.3659266923774,geochem-surface,7358993,96081,E096,,SOIL,2012,Easter Well,LEGENDRE B R,GOLD,Annual Report - Easter Well (12/11/2011 - 11/11/2012),https://wamex.dmp.wa.gov.au/Wamex/Search/ReportDetails?ANumber=96081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geochem-surface,SOIL,au_ppm
E20-TENEMENT_D,Point,POINT(117.92270243167877 -27.36589334381143),117.92270243167876,-27.36589334381143,geochem-surface,7358994,96081,E097,,SOIL,2012,Easter Well,LEGENDRE B R,GOLD,Annual Report - Easter Well (12/11/2011 - 11/11/2012),https://wamex.dmp.wa.gov.au/Wamex/Search/ReportDetails?ANumber=96081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geochem-surface,SOIL,au_ppm
